Mountain,Height,Temperature,Country
Mount Everest, 8848, -36, Nepal/China
K2, 8611, -45, Pakistan/China
Kangchenjunga, 8586, -25, Nepal/India
Lhotse, 8516, -36, Nepal/China
Makalu, 8485, -20, Nepal/China
Aconcagua, 6959, 15, Argentina
Ojos del Salado, 6893, -7, Argentina/Chile
Monte Pissis, 6795, 4, Argentina
Huascarán, 6768, 1, Peru
Mount Kilimanjaro, 5895, -7, Tanzania
Mount Kenya, 5199, 1, Kenya
Ras Dashen, 4533, 5, Ethiopia
Mount Stanley, 5109, -6, Uganda/Congo
Mount Meru, 4562, 13, Tanzania
Mount Elbrus, 5642, -20, Russia
Mont Blanc, 4810, -7, France/Italy
Dufourspitze, 4634, -15, Switzerland
Grossglockner, 3798, -9, Austria
Ben Nevis, 1345, 1, United Kingdom
Mount Kosciuszko, 2228, 6, Australia
Puncak Jaya, 4884, 6, Indonesia
Mount Wilhelm, 4509, 0, Papua New Guinea
Mount Cook (Aoraki), 3033, -1, New Zealand
Mount Aspiring/Tititea, 3033, -1, New Zealand
